Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Remo Freuler,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
James Furlong,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Gabriel Jesus,Forward,27,,,24,,,16,13,11,9,,,,,,,,,,5,490,18.15,6,9,,,,6,0,26,16,4,2,1,1,2,0.15,0,0,55,19,35%,7,,,,,,,,
Gabriel Magalhães,Defender,36,15,26,48,58%,2,6,31,97,59,1,136,161,106,2,79,64,1,0,0,"2,144",59.56,2,4,25%,2,69,4,0,35,1,4,4,0,0,0,,,,,,,,,,,,,,,
Gabriel Martinelli,Forward,35,,,30,80%,,19,5,7,2,,95,109,169,40,17,26,,0,4,807,23.06,7,109,26%,3,24,1,0,23,9,6,0,5,1,1,0.17,0,0,58,22,38%,5,,,,,,,,
Cody Gakpo,Forward,35,,,27,,,17,14,7,5,,,,,,,,,,5,535,15.29,5,21,,,,1,0,28,8,8,3,3,2,0,0.23,0,0,66,24,36%,6,,,,,,,,
Conor Gallagher,Midfielder,37,,,85,61%,,12,43,30,15,,221,212,210,38,25,28,,0,7,"1,930",52.16,11,64,28%,5,54,7,1,83,1,5,0,4,1,3,0.14,0,0,48,18,38%,5,,,,,,,,
Joe Gardner,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alejandro Garnacho,Forward,36,,,22,,,40,18,12,3,,,,,,,,,,4,834,23.17,6,58,,,,4,0,20,15,7,1,3,3,0,0.19,0,0,100,28,28%,7,,,,,,,,
James Garner,Midfielder,37,,,83,53%,,10,45,45,15,,172,169,134,19,25,24,,1,2,"1,111",30.03,7,112,22%,4,46,7,0,39,3,1,0,1,0,4,0.03,0,0,41,11,27%,1,,,,,,,,
Joe Gauci,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Jean-Philippe Gbamin,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Billy Gee,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tyrique George,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
